model,ambig-acc_max,ambig-acc_min,disambig-acc_max,disambig-acc_min,consist_max,consist_min,diff-bias_ambig_max,diff-bias_ambig_min,diff-bias_disambig_max,diff-bias_disambig_min
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,30.982905982905983,10.149572649572647,34.82905982905983,10.683760683760685,54.91452991452992,19.871794871794872,1.7094017094017095,-4.594017094017095,-4.914529914529915,-9.18803418803419
-network-weights-llama.var-llama_2-Llama-2-13b-hf,30.23504273504273,10.683760683760685,34.72222222222222,10.149572649572647,33.97435897435898,11.538461538461538,0.641025641025641,-2.9914529914529915,-4.700854700854701,-9.82905982905983
-network-weights-llama.var-llama_2-Llama-2-7b-chat-hf,32.47863247863248,11.431623931623932,34.508547008547005,11.11111111111111,28.63247863247863,10.256410256410255,0.7478632478632479,-0.641025641025641,-4.273504273504273,-8.76068376068376
-network-weights-llama.var-llama_2-Llama-2-7b-hf,35.14957264957265,14.316239316239315,32.15811965811966,8.974358974358974,12.606837606837606,2.9914529914529915,1.0683760683760684,-0.3205128205128205,-4.487179487179487,-11.11111111111111
facebook-opt-1.3b,35.47008547008547,12.713675213675211,31.517094017094017,9.18803418803419,16.23931623931624,4.914529914529915,0.1068376068376068,-0.4273504273504274,-3.205128205128205,-8.333333333333332
facebook-opt-13b,32.37179487179488,9.82905982905983,34.401709401709404,11.11111111111111,17.94871794871795,3.418803418803419,0.9615384615384616,-0.3205128205128205,-8.11965811965812,-11.752136752136751
facebook-opt-2.7b,36.858974358974365,11.965811965811966,32.26495726495727,9.82905982905983,15.384615384615383,3.418803418803419,0.4273504273504274,-1.0683760683760684,-2.9914529914529915,-7.905982905982905
facebook-opt-6.7b,31.1965811965812,10.149572649572647,34.508547008547005,10.790598290598291,11.965811965811966,5.128205128205128,2.3504273504273505,0.3205128205128205,-8.547008547008547,-14.743589743589745
mosaicml-mpt-7b,36.21794871794872,11.965811965811966,32.26495726495727,9.722222222222223,25.213675213675213,8.974358974358974,1.0683760683760684,-2.6709401709401708,-7.478632478632479,-12.17948717948718
mosaicml-mpt-7b-instruct,34.82905982905983,12.072649572649572,30.55555555555556,9.401709401709402,27.99145299145299,11.324786324786324,2.8846153846153846,-0.9615384615384616,-7.051282051282051,-10.897435897435898
tiiuae-falcon-7b,31.837606837606835,11.21794871794872,33.76068376068376,9.508547008547009,18.16239316239316,4.700854700854701,1.282051282051282,-1.1752136752136753,-3.632478632478633,-11.752136752136751
tiiuae-falcon-7b-instruct,33.97435897435898,10.149572649572647,33.86752136752137,11.431623931623932,25.64102564102564,10.683760683760685,1.1752136752136753,0.0,-4.487179487179487,-11.752136752136751
